Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
241,-1.884503813,-3.699087821,1.288848659,0.281806523,2.338926601,1.236635401,-0.234902285,-2.64850427,0.746754436,0.13170433,0.813817974,0.406919247,-0.863467715,1.247686905,-0.360907667,-0.181810651,0.900905447,0.617044264,1.716634546,-0.629265698,0.4629211,0.52715576,-0.124492209,0.350314213,0.59565291,-0.742392247,-0.018659283,0.226213621,84,0
265,-1.165291571,-0.156486979,0.943435366,0.138435356,-0.510057979,-1.045344696,-0.988777023,0.208454986,0.860692656,-0.995600114,-0.13033429,1.246403461,1.310810397,2.045233354,-2.266029801,0.056495057,-0.148986545,0.700665182,0.28808254,-0.061293691,0.160829408,-0.282027036,-0.173162722,0.064675791,0.394098747,-0.335532684,0.336302099,0.03201061,15.95,0
279,1.107550703,-1.430648343,0.20504884,-1.772131508,-0.620911996,-0.612140526,-0.645918671,0.039313581,-0.358971966,0.027340595,-0.621975853,-1.479751675,-0.213625099,1.783973604,-1.458674024,-0.239332337,-0.848261344,-0.749094406,0.255246019,0.14060969,-0.167706201,-0.00020998,-0.000347159,0.989430737,-0.203423207,-0.785595183,0.030679208,0.029403644,126.51,0
294,-3.584350484,-0.055208968,1.213088875,1.155454641,-0.270631082,0.035791748,-1.211847347,0.496620063,-0.452336532,-0.883497505,-0.857627663,-1.241693792,1.170776649,0.364679188,0.042994244,-1.016297825,0.628879045,-1.613360075,1.811153792,0.442947418,0.041079373,-0.654001147,-0.099300372,0.015748434,0.162572992,0.99751628,0.644559492,-0.343968795,109.15,0
315,-1.349778402,1.022365811,-0.462717182,-2.323638646,0.267644762,-0.866223838,0.229814518,-0.072452071,0.232797727,0.918802659,2.28237747,-1.387281531,2.713308994,1.776907335,1.157358793,0.759734222,0.129378267,-0.837357228,-0.805747318,0.208740153,1.52029702,0.403316868,-0.084838828,-0.369820519,0.377704184,0.106976008,-0.541142589,-0.039017464,20,0
336,0.990345615,-2.329715655,1.360887237,1.097660996,2.454063109,-1.042874579,-0.3677038,0.000774626,1.327396961,-0.808627128,-0.871833203,1.170776037,0.730774093,0.091314469,0.098940703,-0.216969367,-0.662923189,-0.343611801,-0.302144987,0.006124947,-0.003606817,0.282055909,-0.346768717,0.977196819,0.163281137,0.410114023,0.001155829,0.027209069,10.07,0
352,-2.272081484,0.025223757,1.715160949,-1.325601965,-0.756924621,-0.958187142,0.079407699,0.242093212,1.280083664,0.012290622,-0.994460289,-2.633719209,0.370728643,0.782754891,-1.985106331,0.348062393,-0.561127738,0.369190587,0.321938992,0.148847019,-0.118818631,0.257206735,-0.079494731,-0.744332915,0.52959685,0.352732766,-0.027274238,0.44273683,49.3,0
353,-1.327664687,0.468328173,1.745037144,1.349079444,1.841542387,-1.031172167,-0.66602788,-0.041604335,1.602574513,0.443544784,-0.078113577,0.30279515,0.281912558,0.545337319,0.340542941,1.403053827,-0.449977542,-0.761553082,-0.590095115,-0.347893937,-0.081803028,-0.999147739,0.063336404,0.965684588,0.368713247,0.815002074,0.191507227,0.034227244,21.77,0
365,1.066305481,2.348015093,0.414817648,-1.097563062,-0.241025779,-1.139390944,0.224181234,0.397942819,0.70191521,0.271489536,0.684260528,-1.524159528,0.74818336,0.560435447,-0.422973788,1.373943313,2.380696617,-0.595435885,-0.815998,-0.060383183,0.035487331,0.434517656,-0.217626906,0.362777318,0.183172154,-0.07603966,0.509620264,-0.402892135,69.8,0
407,-1.199406239,0.415235339,-1.087877186,-1.512899245,1.253550859,3.126311695,0.349413425,-0.230087388,1.849621718,1.144098191,1.862866391,-2.645491444,1.534609672,0.495959827,-0.187501972,0.424344215,0.773206887,-0.417483618,0.30816823,0.087934524,-0.140858598,0.161742292,-0.203356152,-0.362278497,0.105890577,-0.445330026,-0.415925631,-0.649236472,198.4,0
427,0.830520289,-0.185999552,0.673721518,-0.13775041,-0.269482802,-1.939327146,-1.017772128,0.342910916,0.912336318,-0.547500564,2.120789693,-0.54289675,1.207071305,0.689022764,1.16726881,-0.411765682,-0.566844671,-0.574859553,0.366252521,-0.199912555,0.396606333,-1.24902066,-0.264839387,0.398636665,0.386738884,0.421084739,0.008829241,0.177411126,15.95,0
430,0.455718387,-0.669107341,0.41699857,-2.202917493,-0.944258915,0.682897113,-0.176984111,0.921471549,1.306006792,-1.23253909,-0.973815254,-1.956258794,2.669520585,0.129741569,-0.235951368,-0.261319821,0.011441089,-1.392317967,-0.221646547,-0.310108024,0.061005995,0.319203568,0.014382587,0.582842947,0.604533468,0.896200853,0.2684582,-0.062655557,6.15,0
477,0.896510176,0.744244214,2.384901119,0.547910346,-1.303764121,-1.411038868,-0.903187908,0.211859403,0.595905057,-0.413809506,1.495302707,-1.732612257,1.819281236,0.823936754,-1.203034399,0.375774276,0.775928143,-0.456454716,0.332784072,0.056622023,0.266840238,-0.781723694,-0.337923933,0.190052245,0.345948093,1.13658188,0.062094664,-0.13192259,15.95,0
490,-1.918158256,-0.525080997,2.353555482,0.116847552,-0.886426057,2.122308469,-0.261394088,-0.096278714,-0.516910479,-0.413371242,0.942230543,-2.501504364,1.51900956,1.759193563,-0.594489155,-0.936065746,1.105820056,0.933532744,0.03067368,-0.141391058,0.010755574,-0.414076042,0.026152104,0.350529918,0.013927959,1.0382132,-0.002581431,0.366771183,2.54,0
499,-1.048372069,-5.12E-05,2.371430587,0.003840338,-0.049040832,-0.813618315,-2.109043271,0.750860758,1.289567344,1.797662495,-0.829265663,-2.6962683,1.557992307,1.241986675,1.14640556,-1.194980147,-0.037367263,0.451282131,-0.397667118,0.101143288,-0.152822683,-0.941835873,-0.024971633,-1.213831478,0.060014887,0.317229855,-0.13015505,0.236306793,77.89,0
499,0.889945967,0.551718269,1.289352132,-0.488275739,-0.588451438,-1.583045476,-1.129006588,0.387580458,0.198593728,-0.59838107,1.002610115,-1.151155292,2.603731933,2.14831135,-1.475076345,1.550144934,-0.318506682,0.356085848,-0.08677249,-0.177745886,0.224221546,-1.025832256,-0.505152248,0.953289132,0.36095482,1.17725255,0.074213046,0.068700672,1,0
517,1.093954431,-0.613121452,0.514906922,-0.139327287,2.404287583,0.008429366,-1.131218622,-2.478530554,1.389476405,0.236442449,0.34470383,-1.950304852,1.779687819,2.640580349,-0.253576808,0.05850118,-0.785370291,0.829241329,-0.1010086,-0.799778923,0.01140567,-0.35180659,-0.074895843,-0.758265003,-0.482270696,-0.386760674,0.287336685,0.018303988,7.98,0
523,-2.188552248,-1.062312868,1.276574873,-2.363212702,0.359742404,-0.060629213,-1.35380289,-0.122827246,0.801655798,-0.87231147,0.197009775,1.002706911,2.613355452,-0.121329706,-0.037014932,1.282600554,0.311274703,-0.398778127,0.719205639,-0.139152309,-0.032840228,0.056177329,-0.036383976,0.021744997,0.360286964,0.401811434,-0.003467411,0.146206681,422.55,0
535,0.953047215,-0.690660625,2.232046041,-2.555688802,-0.794705443,-1.330633055,-1.078966487,0.880392693,0.373188282,-0.594026884,0.633317057,-1.285547692,1.232268931,1.682006435,-0.403287381,0.621841933,-0.724625122,-0.671257315,-0.275646691,-0.413761668,0.076952111,-1.12365739,-0.402895795,-0.721484293,0.176010499,-0.14613567,0.068328926,0.17614154,15.95,0
550,1.03232581,0.356224882,1.805895118,-1.329284528,0.435500735,-0.421813311,-0.315000248,0.61739346,1.372246764,0.047964085,-0.50757246,-0.156916993,1.371532108,-0.034951777,1.215034793,0.315117706,-0.656294022,-0.593644278,1.250404263,2.452159394,0.097373161,-0.88821857,-0.52634137,0.620684011,0.00730601,1.102962297,-0.031156622,0.021190147,28.48,0
572,-2.277783299,-0.673320723,0.597957469,2.645178562,-0.165896018,-0.799899721,-0.733931405,0.693975379,-0.610316067,1.038229944,-0.316181338,0.230837044,0.209546042,0.385311602,-1.696688692,-0.147846988,0.306104929,0.013687545,-0.44326392,-0.169406784,-0.160787027,-0.066900942,-0.260725623,0.395896024,-0.092758712,0.347948861,-0.033704689,0.094381266,85.79,0
572,-4.410739701,-0.671674019,0.832236461,0.354583981,1.336506833,3.240423701,-3.91802975,0.045538932,-0.607508093,0.134019563,0.022325591,-2.578000613,0.830880768,-0.091663534,-1.534739981,0.344725576,0.997310827,0.745179801,0.777707048,-0.837596769,-0.639091468,0.249229251,0.009811749,0.16844134,0.551731506,1.080575351,-0.361867483,0.159030485,46.17,0
583,-2.358118577,2.298883585,2.190949894,-2.270896077,0.164130916,-0.210574063,0.341736293,0.052912434,-1.59131657,-0.917395943,1.53704951,0.391003401,0.38238751,1.530860675,0.594536488,0.755918114,0.852322204,-1.387929679,1.841570591,-0.338977958,-0.154830274,-0.67618421,0.211738043,0.410444112,-0.274136229,-0.40878716,0.422461224,0.15232084,117.11,0
605,1.035441334,0.970657519,0.50668799,0.911113645,-0.636647265,0.003416473,-0.670266786,0.817982558,1.325531596,1.1530524,-0.461650864,-1.643757866,1.191038962,1.634408672,0.306242522,-0.735383028,0.074181862,1.554753936,-0.972610208,0.028163756,-0.261027555,-0.522714023,0.451025667,0.4131727,-0.600764292,-0.754473007,-0.377156415,0.173079222,23.08,0
605,-1.383230413,-0.708824193,0.403697005,0.933477464,0.706681472,1.350745161,0.023926085,0.070977511,0.675897416,0.373040623,1.179982583,-1.751152236,1.435586868,1.862275057,-0.986312336,-1.308545955,0.959110661,1.275625382,1.424383709,-0.289502928,-0.201103834,0.659132629,-0.378255338,-0.372153358,-0.797974636,0.124429714,-0.290228552,0.054673102,0.89,0
614,0.480411391,-0.011784803,2.142878338,0.068069222,1.012680158,1.004115939,-1.122901601,0.350360274,0.750660953,0.211986935,-1.086033491,0.031812415,2.449671499,1.899582895,-0.176675464,0.167307766,-0.707413138,0.071388976,-0.643460639,1.494591371,-0.176942839,-0.114210728,-0.275390388,0.183612696,-0.541143898,0.809373919,-0.01057721,0.116197895,47.45,0
636,0.910180245,0.088953079,1.564237711,-1.348196119,2.772876084,-1.790880318,-0.900293777,0.273203223,0.201460205,0.191333096,0.757978577,1.794442711,2.390636013,2.389769044,0.251308221,-0.357852146,0.061845916,-0.017775365,-0.132614499,0.215466902,0.025045853,-0.783669635,-0.36542939,0.247464425,-0.010838225,0.006742905,0.036098248,0.172669666,1,0
636,-0.348338818,-0.892414508,1.940425789,0.314981727,-0.510172045,-1.31936882,-1.062696161,0.263646668,-1.017912163,0.329764192,-0.442978697,-1.400844772,1.821261008,0.464990404,0.398247951,0.638503925,0.135803568,0.464677078,-0.369883872,-0.131382226,0.208220837,-0.940963172,-0.188978515,0.216035831,0.175631598,0.126922994,0.028224851,0.048395102,15.95,0
679,-1.499344551,-0.039606047,1.776288368,-0.814697221,0.18662628,-1.249441306,-1.321723428,0.026096762,1.312967781,0.088807498,1.057537362,-2.547870751,0.845362974,1.538919861,1.035758791,0.475289288,0.648034492,0.450234619,-0.225015951,0.058342218,-0.125308237,-0.870273319,-0.391530265,0.917273159,0.365564011,1.003102081,-0.018557526,0.192324919,24.16,0
696,0.888714034,0.575601895,-0.417388912,1.703202474,-0.794946566,-1.606839932,-0.488760158,0.20433185,-1.190044219,-0.427008186,-0.973124146,-0.999306931,1.775759174,2.260844201,-1.312875167,0.623448185,-0.291761733,0.869794068,0.301834643,0.02857112,0.070443549,-1.316995792,-0.155798413,0.083258485,-0.48471209,0.179728581,0.061792609,0.046044726,24,0
713,1.109151644,1.067653107,2.247221134,1.006245232,-0.019991454,-0.563801714,0.428021817,0.537675276,1.995533134,-0.463599783,0.825513996,0.245555858,2.476294448,0.328696412,-1.103788768,0.090510281,0.032350777,0.317652017,0.725654488,0.62612065,-0.150091737,-1.345459684,0.010772443,0.127127364,0.579139565,0.36863842,-0.050231937,0.241746937,36.04,0
743,0.851119965,0.349923509,0.87283967,-0.443833048,-0.496557536,-1.667452233,-1.066616428,1.17433709,-0.987982634,-0.885121805,1.83093754,1.677792267,0.877409149,0.838461858,-1.805981039,1.692115963,-0.059896495,0.622606127,-0.435889832,0.021952216,0.345396436,0.04925068,-0.275177257,0.570610038,0.001764592,-0.347330732,0.049441114,0.036706241,1,0
766,-1.407791365,0.275826942,0.267135674,-0.674077704,1.77492217,-0.144372893,0.335822728,0.371077295,1.260240769,0.178266419,-1.21696567,0.337959505,0.427020606,-1.507879785,-0.090698606,0.77284118,-0.511442649,-0.750966064,0.422464483,-0.113568502,1.961986322,-1.597932444,-0.250611746,0.111332692,0.360144803,1.025781435,-0.003835365,0.468359509,15.16,0
790,1.139466535,0.098714771,0.763189704,-0.730200359,1.082956395,3.407716547,0.271830166,-0.071462031,0.31119908,0.293237938,0.069220849,-2.759360675,1.78437912,2.637944052,1.046997673,-0.202541788,0.000290721,1.260177279,1.508244628,-0.067844426,5.119168483,-0.523666171,-0.31452502,0.91941685,0.346324847,-0.23824002,0.255799532,0.472393654,14.95,0
804,1.056467334,-0.665581335,1.510191818,0.881122295,-0.71927828,-1.029965855,0.112991122,-0.150824034,1.771394978,-0.378009862,-0.03561095,-2.05863737,1.129529148,1.262779664,-0.346574147,0.472776341,-0.04969062,-1.386100021,0.724379442,0.144646524,0.045150432,0.185787685,-1.580383405,-0.785588831,0.351671075,1.004222495,-0.28901581,-0.149835728,126.43,0
841,-3.381435262,0.970219107,0.204437756,0.245143004,-0.255870318,-1.334324951,-0.64816803,0.242515063,0.435103174,0.149325552,0.605482207,1.771005228,2.444300506,0.474233298,-0.48869528,0.917525069,-0.090839356,0.539618564,-0.467305643,0.079393064,0.018669112,-0.913996284,-0.184564005,0.099251288,0.641866782,0.432889731,0.054348504,0.181370688,1,0
919,1.098573178,-0.744230741,2.124271893,-0.891850724,2.123838333,3.027802793,-0.706579658,0.183261734,-0.323994546,-0.876336757,0.353143086,-2.647689029,2.073425154,0.529421957,-2.591981566,0.046710837,1.48659874,0.866884183,1.44701847,0.143456676,-0.118799829,-0.657806465,-0.021880993,0.559226297,0.180215188,-0.408645542,0.2845561,0.130912141,6.99,0
933,0.922855016,-0.132468853,1.747617902,-0.342663292,-0.894799913,-1.496424018,-1.734968634,0.180668802,0.307874092,-0.380617408,0.773518253,-2.256232435,1.825046552,0.470439455,0.455697422,-0.833271313,-0.592288347,0.637815609,0.803071603,-0.054068355,0.159779303,-1.09376381,-0.432206738,0.138235075,0.167516967,-0.172029735,0.05075537,0.198518241,15.95,0
954,1.133184581,1.16248527,1.137725828,0.303902466,1.888210684,0.017127904,0.245486487,-0.051859343,2.897560933,0.191936942,2.160958059,-2.212733347,0.846537062,1.91856521,-0.287141001,-0.962494189,0.989937058,0.124171342,-0.752248978,0.179381164,-0.001465608,-2.284479928,-0.09493571,0.37650293,-0.102959943,1.018324129,0.177775229,0.096146744,261,0
1009,-2.036469748,0.891264938,-0.797622859,1.15715384,-0.960420714,0.473742571,-0.69027738,-0.029047798,0.500454931,-0.402288486,-0.032575629,-2.931487902,0.362728243,-0.312739329,-2.008933369,-1.042390519,0.371142849,0.870215293,-0.765595135,-0.138878541,-0.051420346,-0.932068109,-0.112847655,0.003121406,-0.031796307,0.102385237,-0.017519061,0.014952902,5.45,0
1023,-1.164812643,0.845919118,0.58971307,-0.073741776,1.058514276,0.140641903,-0.395133331,0.048343932,-0.648542838,-0.258957675,-0.284872177,0.690814399,1.900341576,0.056931674,1.094369494,1.26096359,-0.158510192,0.522056721,-0.553865772,-0.325018482,0.007499521,-0.38672498,-0.109817801,-0.73523727,-0.005860755,-0.42083861,0.055488982,-0.276258354,328,0
1096,-0.629546793,-0.484915552,1.703487692,-0.826798397,-0.119150994,-0.348271357,0.606781394,-1.851519688,0.766991962,0.00565172,0.810018161,0.917627275,1.654683221,0.369413875,-0.82353271,0.40177638,1.042104858,-0.670437629,0.28557569,0.161466068,0.123743112,0.165852841,0.06441625,0.134956449,-0.209665882,0.014929579,0.255334796,0.555679132,19.72,0
1158,1.038293969,0.577004445,1.869505228,-1.992040005,0.217644458,-0.668919267,0.412758267,0.061428587,1.941181585,-0.857697929,2.013632461,-2.156508217,1.23310523,1.881585917,-0.446692759,0.449841235,1.274572148,-1.215680639,0.78457685,-0.297365632,-0.193728781,-0.322152471,-0.283739926,-0.646636684,0.143159343,-0.219617602,0.275105115,-0.228961513,29.89,0
1231,-0.622582626,0.941421594,0.827593658,-1.661735945,-0.51759048,-0.091403064,-0.694588909,-0.09727516,1.98671793,-0.329769404,0.513981819,-0.40390004,0.014746459,1.369601055,-0.812133301,-0.708718178,2.677169638,0.051865837,0.805240928,-0.152860697,0.0710243,-1.475830748,-0.258809257,0.053697889,-0.425850263,0.336917102,0.144519429,-0.221439492,2.5,0
1247,-0.883420556,0.887000682,0.857332503,0.562641029,-0.023125173,-1.271434392,-0.583081908,0.559459812,1.16987793,-0.503201107,0.838554613,-0.911537148,1.26214412,1.991273619,-0.595535911,0.98716807,-0.215270114,-0.573587682,1.642167308,-0.437764257,0.003457009,-0.27271794,-0.142563814,0.172857309,-0.540464695,1.111245721,0.027840027,0.180040772,1,0
1248,-0.992538796,0.919076311,1.334769176,0.549754151,-0.832268352,-0.919690244,-0.868964315,0.288357804,0.307684496,-0.558444756,0.9216999,1.505380534,3.393052336,2.259975304,0.012515189,0.526082939,0.735122667,0.134237885,0.703487314,-0.005575217,-0.024314172,0.17456585,-0.52513078,-0.047027241,0.372436023,0.882011647,-0.033861976,0.028749816,15.95,0
1252,0.905876681,1.289290806,1.408310418,-0.144447398,0.029660568,-0.405343531,-0.970020176,0.208388276,-0.580087932,-0.003007887,-1.321425123,-0.943569281,1.397903204,1.809110319,-0.529919041,0.755239517,0.730891539,0.571341785,1.63696511,-0.107254431,0.047067888,-0.541954126,-0.186049707,0.550587109,-0.251795053,1.084686548,0.0134309,0.035736547,15.95,0
1257,1.116570191,1.137434678,0.461221871,-1.279942675,0.187284057,0.048871418,-0.18629077,0.354026255,1.815301382,-0.92225329,0.947006705,-2.573880893,1.151648222,1.747040053,0.49271368,0.778472547,0.455090798,0.267997147,-0.852405693,-0.111948324,1.450304378,-0.198660795,-0.297638148,-0.761404443,-0.183066544,1.019384107,0.268009383,0.111187692,9.58,0
1260,0.956502131,0.771320692,2.275991278,-0.328121301,-0.18619289,-0.972567887,-0.927856085,0.26817567,1.356219504,-0.530272256,-0.72300326,-0.82730313,1.070187932,0.370747988,1.148410407,0.632858484,0.047814916,-0.509759449,1.211124137,0.026637606,0.059676358,-0.5671483,-0.083810967,0.976056536,0.502929813,-0.293848186,0.020380253,0.193334946,15.95,0
1264,-0.71225729,-0.582684784,2.772975021,1.039667877,0.867863261,-0.650437837,0.144776516,0.670199983,0.221438754,-0.59781811,1.029694487,-1.61098295,-0.248049441,1.847613418,0.530409839,0.641117213,-0.895025188,0.780113619,-0.241489916,0.312475782,0.001994653,0.269057076,-0.215359888,-0.30076023,0.715012669,-0.719182235,-0.025204853,0.226266289,15.95,0
1293,0.324677125,2.43736803,0.686789905,0.297270718,-0.708619676,-0.057436333,-0.554377431,0.023556583,0.666674277,-0.950322214,0.909003418,-1.308275469,1.810519136,0.40636107,-0.265684923,-0.574257989,0.416384808,-0.627088434,1.390018731,-0.717674785,-0.039106134,0.493822568,-0.125232683,0.409538352,0.597657563,0.350051359,0.359175504,0.02631968,15.99,0
1297,0.904128548,0.543158999,2.075166215,-0.296870874,-0.566868416,-1.594536392,-1.036475525,0.175617468,-1.08795729,-0.012832389,0.769950895,-1.496413969,1.044953595,1.934046281,-0.541726622,-0.70451997,-0.005662995,-0.578522357,1.153289526,0.085541958,0.376931539,0.098546185,-0.248182685,-0.392632893,0.124142631,-0.192442803,0.038240383,0.036493741,9.15,0
1358,0.880548465,0.349519485,2.375060003,-0.363978138,-0.691816225,0.551530248,-0.203894065,0.167081545,0.90682707,0.180350355,0.817369047,1.557632823,1.872683475,0.810858378,-1.8295024,0.769458555,-0.352279529,-0.089025275,1.714738925,-0.054105331,0.090699987,0.353441301,-0.49757638,0.011958997,0.121910026,0.435945163,0.052918511,0.206202168,15.95,0
1362,-1.428486148,-0.525479137,-1.473560823,0.333409816,-0.738127091,-0.127658924,-4.477854748,0.609306576,1.507853824,-0.034764011,1.119551035,0.717418915,0.364593892,0.494919074,-0.071840649,-0.544133732,2.58029232,-0.165328202,0.863545473,0.161336514,0.052762259,0.454850609,-0.338643543,0.095323443,-0.136613676,0.335443469,0.00042896,0.153733293,50.95,0
1364,-0.980810508,-1.769464984,0.541777615,0.139025478,-0.949019564,0.050797511,-0.349722316,0.886504187,1.152836717,0.391219681,-0.506015379,-2.323454375,0.405383259,2.424353634,-1.884833662,-0.624635114,-0.064817709,0.138704176,-0.096862787,0.087936903,-0.058626902,-0.911290513,-0.26395123,0.562247734,-0.028476214,0.813707923,0.023146249,0.024467832,197.53,0
1419,1.063834681,0.835984861,1.194841324,1.037369624,-0.565545298,3.06900817,-0.256593214,-0.210275525,-0.165970121,-1.041592238,-0.580310194,-1.402294279,0.571107511,0.026295065,1.091474856,1.384947438,0.757625313,0.46897244,1.35413155,-0.145377167,-0.049817868,-0.981438799,-0.114553698,0.010638268,0.344518608,-0.431388157,0.021857233,-0.281594973,151,0
